Day of Date,Athlete,Auto,Location of race,Nationality,Record,Wind,Nationality,Min. Time
3-Aug-56,Willie Williams,-,"Berlin, Germany", United States,Ratified,0.7, United States,10.1
31-May-08,Usain Bolt,-,"New York, USA", Jamaica,Ratified,1.7, Jamaica,9.72
16-Aug-08,Usain Bolt,"9,683","Beijing, China", Jamaica,Ratified,0, Jamaica,9.69
16-Aug-09,Usain Bolt,"9,572","Berlin, Germany", Jamaica,Ratified,0.9, Jamaica,9.58
14-Sep-02,Tim Montgomery,-,"Paris, France", United States,Ratified but later Rescinded,2, United States,9.78
15-Jun-35,Takayoshi Yoshioka,-,"Tokyo, Japan", Japan,Ratified,2.5, Japan,10.3
16-Jul-75,Steve Williams,-,"Siena, Italy", United States,Ratified,0, United States,9.9
21-Jun-74,Steve Williams,-,"Los Angeles, USA", United States,Ratified,1.3, United States,9.9
27-Mar-76,Steve Williams,-,"Gainesville, USA", United States,Ratified,0.7, United States,9.9
22-Aug-75,Steve Williams,-,"Berlin, Germany", United States,Ratified,-0.2, United States,9.9
5-Jun-75,Silvio Leonard,-,"Ostrava, Czechoslovakia", Cuba,Ratified,1.7, Cuba,9.9
20-Jun-68,Ronnie Ray Smith,"10,140","Sacramento, USA", United States,Ratified,0.9, United States,9.9
20-Jun-68,Roger Bambuck,"10,280","Sacramento, USA", France,Ratified,2, France,10
1-Jul-72,Rey Robinson,-,"Eugene, USA", United States,Ratified,0, United States,9.9
18-Apr-59,Ray Norton,-,"San Jose, USA", United States,Ratified,1.3, United States,10.1
15-Sep-34,Ralph Metcalfe,-,"Osaka, Japan", United States,Ratified,-, United States,10.3
23-Sep-34,Ralph Metcalfe,-,"Dairen, China", United States,Ratified,2, United States,10.3
12-Aug-33,Ralph Metcalfe,-,"Budapest, Hungary", United States,Ratified,-, United States,10.3
1-Aug-32,Ralph Metcalfe,"10,380","Los Angeles, USA", United States,Not Ratified,0.4, United States,10.3
9-Aug-30,Percy Williams,-,"Toronto, Canada", Canada,Ratified,-, Canada,10.3
2-Apr-68,Paul Nash,-,"Krugersdorp, South Africa", South Africa,Ratified,0, South Africa,10
31-May-68,Oliver Ford,-,"Albuquerque, USA", United States,Ratified,1.1, United States,10
25-Aug-51,McDonald Bailey,-,"Belgrade, Yugoslavia", Great Britain,Ratified,0, Great Britain,10.2
16-Jun-99,Maurice Greene,-,"Athens, Greece", United States,Ratified,0.1, United States,9.79
15-May-48,Lloyd LaBeach,-,"Fresno, USA", Panama,Ratified,0.7, Panama,10.2
14-Jun-91,Leroy Burrell,-,"New York, USA", United States,Ratified,1.9, United States,9.9
6-Jul-94,Leroy Burrell,-,"Lausanne, Switzerland", United States,Ratified,1.2, United States,9.85
27-Oct-56,Leamon King,-,"Santa Ana, USA", United States,Ratified,0.9, United States,10.1
20-Oct-56,Leamon King,-,"Ontario, USA", United States,Ratified,1.5, United States,10.1
12-May-06,Justin Gatlin,"9,766","Doha, Qatar", United States,Ratified but later Rescinded,1.7, United States,9.77
20-May-68,Jim Hines,-,"Sacramento, USA", United States,Not Ratified,0.8, United States,10.03
14-Oct-68,Jim Hines,-,"Mexico City, Mexico", United States,Ratified,0.3, United States,9.95
27-May-67,Jim Hines,"10,170","Modesto, USA", United States,Ratified,2, United States,10
20-Jun-68,Jim Hines,"10,030","Sacramento, USA", United States,Ratified,0.8, United States,9.9
,Jim Hines,"9,950","Mexico City, Mexico", United States,Ratified,0.3, United States,9.9
20-Jun-36,Jesse Owens,-,"Chicago, USA", United States,Ratified,1.2, United States,10.2
16-Sep-20,Jackson Scholz,-,"Stockholm, Sweden", United States,Ratified,-, United States,10.6
29-Jun-56,Ira Murchison,-,"Los Angeles, USA", United States,Ratified,-1.3, United States,10.2
1-Jun-56,Ira Murchison,-,"Compton, USA", United States,Ratified,-1, United States,10.2
4-Aug-56,Ira Murchison,-,"Berlin, Germany", United States,Ratified,1, United States,10.1
15-Aug-64,Horacio Esteves,-,"Caracas, Venezuela", Venezuela,Ratified,0, Venezuela,10
31-Oct-54,Heinz Fütterer,-,"Yokohama, Japan", West Germany,Ratified,1.1, West Germany,10.2
3-Apr-76,Harvey Glance,-,"Columbia, USA", United States,Ratified,0.7, United States,9.9
1-May-76,Harvey Glance,-,"Baton Rouge, USA", United States,Ratified,-, United States,9.9
15-Jul-60,Harry Jerome,-,"Saskatoon, Canada", Canada,Ratified,1.8, Canada,10
6-Jun-41,Harold Davis,-,"Compton, USA", United States,Ratified,-0.9, United States,10.2
6-Aug-34,Eulace Peacock,-,"Oslo, Norway", United States,Ratified,-, United States,10.3
17-Jun-67,Enrique Figuerola,-,"Budapest, Hungary", Cuba,Ratified,1.8, Cuba,10
8-Aug-29,Eddie Tolan,-,"Stockholm, Sweden", United States,Ratified,0, United States,10.4
25-Aug-29,Eddie Tolan,-,"Copenhagen, Denmark", United States,Ratified,-, United States,10.4
1-Aug-32,Eddie Tolan,"10,380","Los Angeles, USA", United States,Ratified,0.4, United States,10.3
1-Jul-72,Eddie Hart,-,"Eugene, USA", United States,Ratified,0, United States,9.9
27-Jul-96,Donovan Bailey,"9,835","Atlanta, USA", Canada,Ratified,0.7, Canada,9.84
6-Jul-12,Donald Lippincott,-,"Stockholm, Sweden", United States,Ratified,-, United States,10.6
22-May-76,Don Quarrie,-,"Modesto, USA", Jamaica,Ratified,1.7, Jamaica,9.9
26-Aug-34,Chris Berger,-,"Amsterdam, Netherlands", Netherlands,Ratified,-, Netherlands,10.3
23-Apr-21,Charlie Paddock,-,"Redlands, USA", United States,Ratified,-, United States,10.4
13-Oct-68,Charles Greene,-,"Mexico City, Mexico", United States,Not Ratified,2, United States,10.02
20-Jun-68,Charles Greene,"10,200","Sacramento, USA", United States,Ratified,2, United States,10
20-Jun-68,Charles Greene,"10,100","Sacramento, USA", United States,Ratified,0.9, United States,9.9
17-Aug-88,Carl Lewis,-,"Zürich, Switzerland", United States,Not Ratified,1.1, United States,9.93
25-Aug-91,Carl Lewis,-,"Tokyo, Japan", United States,Ratified,1, United States,9.86
24-Sep-88,Carl Lewis,-,"Seoul, South Korea", United States,Ratified,1.1, United States,9.92
30-Aug-87,Carl Lewis,-,"Rome, Italy", United States,Not Ratified,1.1, United States,9.93
3-Jul-83,Calvin Smith,-,"Colorado Springs, USA", United States,Ratified,1.4, United States,9.93
29-Jun-56,Bobby Morrow,-,"Los Angeles, USA", United States,Ratified,-0.4, United States,10.2
19-May-56,Bobby Morrow,-,"Houston, USA", United States,Ratified,0.9, United States,10.2
22-Jun-56,Bobby Morrow,-,"Bakersfield, USA", United States,Ratified,0, United States,10.2
15-Oct-64,Bob Hayes,-,"Tokyo, Japan", United States,Not Ratified,1.3, United States,10.06
15-Oct-64,Bob Hayes,"10,060","Tokyo, Japan", United States,Ratified,1.3, United States,10
30-Aug-87,Ben Johnson,-,"Rome, Italy", Canada,Ratified but later Rescinded,1, Canada,9.83
9-Jul-48,Barney Ewell,"10,350","Evanston, United States", United States,Ratified,-, United States,10.2
9-Sep-07,Asafa Powell,-,"Rieti, Italy", Jamaica,Ratified,1.7, Jamaica,9.74
14-Jun-05,Asafa Powell,"9,768","Athens, Greece", Jamaica,Ratified,1.6, Jamaica,9.77
11-Jun-06,Asafa Powell,"9,763","Gateshead, England", Jamaica,Ratified,1.5, Jamaica,9.77
18-Aug-06,Asafa Powell,"9,762","Zürich, Switzerland", Jamaica,Ratified,1, Jamaica,9.77
5-Jul-32,Arthur Jonath,-,"Bochum, Germany", Germany,Not Ratified,-, Germany,10.3
21-Jun-60,Armin Hary,"10,250","Zürich, Switzerland", West Germany,Ratified,0.9, West Germany,10